Timestamp,Location,Mode,Position,KillCount
2018/03/05 7:16:09 PM EST,D5,Solo,6,8
2018/03/05 7:43:32 PM EST,G2,Solo,1,3
2018/03/05 7:44:48 PM EST,F8,Solo,6,3
2018/03/05 7:54:54 PM EST,A9,Solo,5,7
2018/03/05 8:00:04 PM EST,D10,Solo,60,1
2018/03/05 8:00:05 PM EST,G8,Solo,1,8
2018/03/05 8:00:08 PM EST,B2,Solo,1,5
2018/03/05 8:02:29 PM EST,H4,Squad,1,7
2018/03/05 8:02:57 PM EST,G6,Solo,6,5
2018/03/05 8:03:31 PM EST,G4,Solo,1,5
2018/03/05 8:04:06 PM EST,H6,Squad,1,19
2018/03/05 8:06:33 PM EST,D6,Squad,1,8
2018/03/05 8:07:44 PM EST,A5,Solo,1,4
2018/03/05 8:09:09 PM EST,J4,Squad,3,1
2018/03/05 8:09:44 PM EST,D7,Solo,4,4
2018/03/05 8:09:46 PM EST,G2,Solo,4,2
2018/03/05 8:09:50 PM EST,H4,Duo,1,6
2018/03/05 8:09:58 PM EST,H6,Solo,1,14
2018/03/05 8:11:22 PM EST,I8,Solo,6,4
2018/03/05 8:18:08 PM EST,H2,Duo,2,6
2018/03/05 8:18:46 PM EST,D5,Solo,5,3
2018/03/05 8:19:19 PM EST,C7,Solo,38,0
2018/03/05 8:22:49 PM EST,A5,Solo,5,1
2018/03/05 8:23:17 PM EST,D7,Solo,1,10
2018/03/05 8:23:46 PM EST,H6,Solo,6,3
2018/03/05 8:24:43 PM EST,I4,Solo,1,5
2018/03/05 8:25:10 PM EST,C7,Solo,1,6
2018/03/05 8:34:31 PM EST,H6,Solo,8,2
2018/03/05 8:38:12 PM EST,D5,Solo,1,21
2018/03/05 8:43:52 PM EST,H6,Solo,1,12
2018/03/05 8:53:26 PM EST,G6,Solo,1,7
2018/03/05 8:55:59 PM EST,D5,Solo,1,22
2018/03/05 8:59:28 PM EST,D7,Solo,2,9
2018/03/05 9:19:21 PM EST,D5,Squad,1,3
2018/03/05 9:31:46 PM EST,A6,Solo,3,8
2018/03/05 9:44:28 PM EST,I7,Solo,2,3
2018/03/05 9:51:21 PM EST,F10,Solo,1,5
2018/03/05 9:58:30 PM EST,D6,Solo,5,7
2018/03/05 10:05:45 PM EST,D5,Duo,4,3
2018/03/05 10:05:48 PM EST,G6,Solo,1,13
2018/03/05 10:05:49 PM EST,D5,Duo,4,3
2018/03/05 10:11:00 PM EST,D5,Duo,31,1
2018/03/05 10:19:04 PM EST,D5,Duo,22,2
