Location,KillCount,Position,Mode
D4,0,30,SOLO
C7,1,60,SOLO
D7,0,14,SOLO
G6,1,17,SOLO
D6,0,43,DUO
G6,0,28,DUO
G8,1,35,DUO
F5,0,50,DUO
H6,1,47,DUO
A5,0,49,DUO
C7,0,49,DUO
F3,0,35,DUO
I8,1,16,DUO
A5,2,35,DUO
C3,4,32,DUO
A5,0,25,DUO
G6,0,15,SQUAD
F10,1,21,SQUAD
D7,0,28,SQUAD
F3,2,13,SQUAD
H8,0,6,SQUAD 
H6,1,26,SQUAD
F3,1,37,SOLO
F3,0,22,SQUAD
G6,1,13,SQUAD
H8,1,25,SQUAD
B7,0,22,SQUAD
F7,0,22,SQUAD
H6,3,18,SQUAD
D7,0,15,SOLO
C7,0,27,SOLO
C5,3,1,DUO
C7,0,35,DUO
C3,4,20,DUO
E9,0,50,DUO
D7,0,48,DUO
G3,2,9,DUO
C7,0,34,DUO
H6,11,1,DUO
F7,1,34,DUO
F10,1,8,DUO
E2,5,1,SOLO
H6,4,30,DUO
D9,6,1,SOLO
A5,0,37,DUO
H8,0,16,DUO
F5,2,25,DUO
G4,2,18,DUO
D5,2,62,SOLO
D5,1,75,SOLO
A5,0,24,SOLO
F7,0,91,SOLO
I3,0,78,SOLO
C5,1,30,SOLO
E9,1,12,SOLO
D2,1,4,SOLO
C7,0,67,SOLO
G6,0,48,SOLO
H6,1,6,SOLO
G6,2,24,SOLO
I9,0,14,DUO
E4,10,1,DUO
A5,1,38,DUO
B2,0,44,DUO
D7,2,27,DUO
B2,1,22,DUO
F3,0,37,DUO
F10,3,3,DUO
F3,5,6,DUO
H6,0,43,DUO
G4,1,22,DUO
E9,1,34,DUO
F10,0,41,DUO
I8,0,10,DUO
H4,4,5,DUO
D7,0,17,DUO
B7,0,30,DUO
J5,4,4,DUO
D9,5,1,SOLO
G4,0,9,SQUAD
C5,0,54,SOLO
A5,1,17,SOLO
G6,3,45,SOLO
C3,0,80,SOLO
H6,0,89,SOLO
D4,0,20,SOLO
H2,1,20,SOLO
E4,6,2,SOLO
D8,0,28,SOLO
G8,0,36,DUO
B2,2,15,DUO
I6,2,12,DUO
B4,2,9,DUO
I2,0,21,DUO
F5,2,9,DUO
H8,1,29,DUO
D5,3,33,DUO
D5,1,34,DUO
B7,2,7,DUO
I7,0,9,DUO
D5,3,18,DUO
A5,4,15,DUO
D6,0,26,DUO
G6,2,25,DUO
B7,0,36,DUO
F7,6,15,DUO
E9,0,17,DUO
E4,0,22,DUO
B2,0,10,DUO
D5,1,48,DUO
D6,0,46,DUO
D7,0,47,DUO
J5,1,22,DUO
H6,1,47,DUO
D6,1,24,DUO
A5,0,26,DUO
C3,8,2,SQUAD
F3,2,18,SQUAD
D5,1,18,SQUAD
C7,0,26,SQUAD
A5,5,11,SQUAD
D6,2,7,DUO
G6,2,30,DUO
F3,3,38,DUO
D5,0,41,DUO
F7,2,33,DUO
H6,0,27,DUO
D5,8,6,Solo
G2,3,1,Solo
F8,3,6,Solo
A9,7,5,Solo
D10,1,60,Solo
G8,8,1,Solo
B2,5,1,Solo
H4,7,1,Squad
G6,5,6,Solo
G4,5,1,Solo
H6,19,1,Squad
D6,8,1,Squad
A5,4,1,Solo
J4,1,3,Squad
D7,4,4,Solo
G2,2,4,Solo
H4,6,1,Duo
H6,14,1,Solo
I8,4,6,Solo
H2,6,2,Duo
D5,3,5,Solo
C7,0,38,Solo
A5,1,5,Solo
D7,10,1,Solo
H6,3,6,Solo
I4,5,1,Solo
C7,6,1,Solo
H6,2,8,Solo
D5,21,1,Solo
H6,12,1,Solo
G6,7,1,Solo
D5,22,1,Solo
D7,9,2,Solo
D5,3,1,Squad
A6,8,3,Solo
I7,3,2,Solo
F10,5,1,Solo
D6,7,5,Solo
D5,3,4,Duo
G6,13,1,Solo
D5,3,4,Duo
D5,1,31,Duo
D5,2,22,Duo
H6,8,1,Solo
B3,1,4,Duo
A7,7,2,Solo
G8,11,1,Duo
A5,4,1,Duo
G8,7,1,Solo
H8,2,3,Solo
D7,5,1,Duo
C3,3,18,Duo
B3,5,1,Squad
D5,1,55,Squad
H6,2,33,Squad
G8,6,1,Solo
E4,6,8,Solo
D5,6,30,Solo
D7,1,60,Solo
D5,2,21,Solo
H7,2,7,Solo
D7,8,1,Duo
I3,2,3,Squad
A4,10,4,Solo
D5,11,1,Solo
G3,2,5,Solo
H4,2,24,Solo
F7,4,13,Solo
D5,14,1,Squad
A7,0,1,Squad
A6,8,1,Solo
A2,1,1,Squad
A2,1,1,Squad
E8,3,1,Solo
A5,8,1,Solo
F2,3,32,Solo
F2,3,32,Solo
H3,7,1,Squad
I3,3,21,Solo
D9,2,1,Squad
D5,1,15,Squad
D6,3,4,Solo
H6,9,1,Solo
I2,4,5,Duo
D5,12,10,Solo
F2,4,3,Squad
C3,12,1,Squad
C5,10,1,Solo
E4,4,7,Solo
C3,3,2,Solo
D7,3,7,Solo
D5,6,6,Squad
F8,9,2,Squad
C6,2,18,Solo
I9,1,5,Duo
